bacteria,host_o_antigen_type,host_o_antigen_score,host_lps_core_type,host_receptor_btub_score,host_receptor_fadL_score,host_receptor_fhua_score,host_receptor_lamB_score,host_receptor_lptD_score,host_receptor_nfrA_score,host_receptor_ompA_score,host_receptor_ompC_score,host_receptor_ompF_score,host_receptor_tolC_score,host_receptor_tsx_score,host_receptor_yncD_score,host_capsule_profile_kfia_score,host_capsule_profile_kfib_score,host_capsule_profile_kfic_score,host_capsule_profile_kfid_score,host_capsule_profile_kfoa_score,host_capsule_profile_kfob_score,host_capsule_profile_kfoc_score,host_capsule_profile_kfod_score,host_capsule_profile_kfoe_score,host_capsule_profile_kfof_score,host_capsule_profile_kfog_score,host_capsule_profile_kpsc_score,host_capsule_profile_kpsc_2_score,host_capsule_profile_kpsd_score,host_capsule_profile_kpse_score,host_capsule_profile_kpse_2_score,host_capsule_profile_kpsf_score,host_capsule_profile_kpsm_score,host_capsule_profile_kpsm_2_score,host_capsule_profile_kpss_score,host_capsule_profile_kpst_score,host_capsule_profile_kpst_2_score,host_capsule_profile_kpsu_score,host_capsule_profile_neu_score,host_capsule_profile_neua_score,host_capsule_profile_neub_score,host_capsule_profile_neud_score,host_capsule_profile_neue_score,host_capsule_profile_neus_score,host_capsule_profile_rmla_score,host_capsule_profile_rmlb_score,host_capsule_profile_rmlc_score,host_capsule_profile_rmld_score,host_capsule_profile_wckc_score,host_capsule_profile_wcke_score,host_capsule_profile_wckf_score,host_capsule_profile_wckg_score,host_capsule_profile_wckh_score,host_capsule_profile_wcki_score,host_capsule_profile_cluster_19_score,host_capsule_profile_cluster_20_score,host_capsule_profile_cluster_23_score,host_capsule_profile_cluster_25_score,host_capsule_profile_cluster_26_score,host_capsule_profile_cluster_27_score,host_capsule_profile_cluster_28_score,host_capsule_profile_cluster_29_score,host_capsule_profile_cluster_32_score,host_capsule_profile_cluster_39_score,host_capsule_profile_cluster_40_score,host_capsule_profile_cluster_42_score,host_capsule_profile_cluster_43_score,host_capsule_profile_cluster_44_score,host_capsule_profile_cluster_45_score,host_capsule_profile_cluster_47_score,host_capsule_profile_cluster_48_score,host_capsule_profile_cluster_49_score,host_capsule_profile_cluster_51_score,host_capsule_profile_cluster_52_score,host_capsule_profile_cluster_53_score,host_capsule_profile_cluster_54_score,host_capsule_profile_cluster_55_score,host_capsule_profile_cluster_56_score,host_capsule_profile_cluster_57_score,host_capsule_profile_cluster_58_score,host_capsule_profile_cluster_59_score,host_capsule_profile_cluster_60_score,host_capsule_profile_cluster_61_score,host_capsule_profile_cluster_62_score,host_capsule_profile_cluster_63_score,host_capsule_profile_cluster_64_score,host_capsule_profile_cluster_65_score,host_capsule_profile_cluster_66_score,host_capsule_profile_cluster_67_score,host_capsule_profile_cluster_72_score,host_capsule_profile_cluster_73_score,host_capsule_profile_cluster_74_score,host_capsule_profile_cluster_75_score,host_capsule_profile_cluster_76_score,host_capsule_profile_cluster_77_score,host_capsule_profile_cluster_78_score,host_capsule_profile_cluster_79_score,host_capsule_profile_cluster_80_score,host_capsule_profile_cluster_83_score,host_capsule_profile_cluster_84_score,host_capsule_profile_cluster_85_score,host_capsule_profile_cluster_86_score,host_capsule_profile_cluster_87_score,host_capsule_profile_cluster_88_score,host_capsule_profile_cluster_89_score,host_capsule_profile_cluster_90_score,host_capsule_profile_cluster_91_score,host_capsule_profile_cluster_92_score,host_capsule_profile_cluster_93_score,host_capsule_profile_cluster_94_score,host_capsule_profile_cluster_95_score,host_capsule_profile_cluster_97_score,host_capsule_profile_cluster_98_score,host_capsule_profile_cluster_99_score
ECOR-18,O2/O50,177.00618,,1411.180908,1014.23468,1717.422729,1024.96582,1834.364502,2226.794922,791.731018,818.425659,800.040161,1045.020996,691.688721,1610.603638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,52.928928,0.0,0.0,0.0,0.0,48.513008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.526976,527.62439,75.62281,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,54.618889,0.0,0.0,43.505104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.98114,0.0,31.002874,0.0,48.461514,0.0,0.0,18.117327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.928619,0.0,0.0
ECOR-19,O89,552.894592,No_waaL,1411.180908,1014.23468,1717.422729,1024.96582,1836.475586,2177.123291,791.731018,818.425659,800.040161,1045.020996,691.688721,1610.603638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,52.928928,0.0,0.0,0.0,0.0,49.422482,0.0,0.0,0.0,139.631989,0.0,0.0,0.0,19.292793,527.62439,76.022476,0.0,0.0,561.95166,0.0,24.636633,138.633392,66.399536,0.0,0.0,54.617947,0.0,18.497602,44.245907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.973633,0.0,31.002874,104.490143,48.461514,0.0,0.0,48.85004,0.0,121.450165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.928619,0.0,0.0
ECOR-20,O83,159.052505,R1,1411.180908,1014.23468,1717.422729,1022.576843,1836.475586,1716.223267,791.731018,815.432373,800.040161,1045.020996,691.688721,1610.603638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,48.95295,0.0,0.0,0.0,0.0,48.460503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.292793,527.62439,76.022476,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,54.618889,0.0,0.0,43.491974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.024292,0.0,31.002874,0.0,48.461514,0.0,0.0,27.97493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50174,0.0,0.0,29.147812,0.0,0.0
ECOR-21,O83,159.052505,R1,1411.180908,1014.23468,1717.422729,1022.576843,1836.475586,1716.223267,791.731018,815.432373,800.040161,1045.020996,691.688721,1610.603638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,48.95295,0.0,0.0,0.0,0.0,48.460503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.292793,527.62439,76.022476,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,54.618889,0.0,0.0,43.491974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.024292,0.0,31.002874,0.0,48.461514,0.0,0.0,27.97493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50174,0.0,0.0,29.147812,0.0,0.0
ECOR-22,O83,159.806305,R1,1411.180908,1014.23468,1716.101196,1041.292847,1833.951904,2223.907471,791.731018,757.7229,790.707458,1045.020996,691.688721,1598.954102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,52.992065,0.0,0.0,0.0,0.0,48.460503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.123766,527.62439,75.801537,0.0,0.0,561.95166,0.0,21.998375,0.0,0.0,0.0,0.0,53.713463,0.0,0.0,43.491974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.557953,0.0,32.253693,0.0,48.705631,0.0,0.0,21.247946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.928619,0.0,0.0
ECOR-23,O83,156.640076,R1,1411.180908,1014.23468,1717.422729,1041.292847,1811.007812,1116.461792,791.731018,766.725037,800.040161,1045.020996,691.688721,1610.603638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.705475,48.95295,80.205727,0.0,0.0,0.0,48.460503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.451159,527.62439,76.022476,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,54.618889,0.0,0.0,43.491974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.929077,0.0,33.486916,0.0,48.185776,0.0,0.0,23.919697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.065992,0.0,0.0
ECOR-24,O83,155.903427,R1,1411.180908,1011.639893,1716.101196,1022.576843,1808.678223,2220.667969,791.731018,757.7229,790.707458,1045.020996,691.688721,1270.537109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.391129,48.974804,82.583122,0.0,0.0,0.0,46.706623,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,19.475708,526.905579,73.550949,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,54.74551,532.041809,0.0,43.197632,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.830841,0.0,33.816441,0.0,48.319492,0.0,0.0,26.08025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,29.948959,0.0,0.0
ECOR-25,O83,157.959946,R1,1411.180908,982.7547,1717.422729,1041.292847,1836.475586,2246.550537,791.731018,818.425659,800.040161,1045.020996,691.688721,1605.106323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,52.928928,0.0,0.0,0.0,0.0,110.628716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.460993,526.932678,75.756332,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,43.505104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.486916,0.0,48.185776,0.0,0.0,22.271112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948959,0.0,0.0
ECOR-26,O104,880.821655,R3,1407.7146,1011.639893,1717.422729,1022.576843,1836.475586,2224.302979,791.731018,777.852905,800.040161,1045.020996,691.688721,1597.477295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,129.833328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.461752,527.62439,75.801537,0.0,0.0,564.037659,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,38.331654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.486916,0.0,48.715008,0.0,0.0,70.112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.183571,0.0,0.0
ECOR-27,O104,880.821655,R3,1407.7146,1011.639893,1717.422729,1022.576843,1836.475586,2224.302979,791.731018,777.852905,800.040161,1045.020996,691.688721,1597.477295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,130.103027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.460993,527.62439,75.801537,0.0,0.0,564.037659,0.0,24.759205,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,38.320724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.486916,0.0,48.715008,0.0,0.0,70.112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.183571,0.0,0.0
ECOR-28,O104,880.821655,R3,1411.180908,1011.639893,1716.459595,1024.96582,1836.475586,2227.331787,791.731018,767.616638,800.040161,1045.020996,691.688721,1603.198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.447037,0.0,0.0,0.0,0.0,129.833328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.631456,526.172668,75.476715,0.0,0.0,564.037659,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.31955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.486916,0.0,48.715008,0.0,0.0,70.112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96608,0.0,0.0
ECOR-29,O83,158.963333,R1,1406.137573,1011.639893,1717.422729,1024.96582,1836.475586,2228.585449,791.731018,777.852905,800.040161,1045.020996,691.688721,1594.824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,45.497952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035923,527.62439,75.476715,0.0,0.0,561.95166,0.0,25.067707,0.0,0.0,0.0,0.0,54.515408,0.0,0.0,41.512112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.917709,0.0,48.715008,0.0,0.0,18.648752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.029327,0.0,0.0
ECOR-30,O7,335.643768,R1,1405.339233,1011.639893,1717.422729,1022.576843,1836.475586,2222.875244,755.805359,730.083557,800.040161,1045.020996,691.688721,1605.655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,45.497952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035923,527.62439,75.476715,0.0,0.0,561.95166,0.0,25.067707,0.0,0.0,0.0,0.0,54.515408,0.0,0.0,41.512112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.973633,0.0,33.917709,0.0,48.715008,0.0,0.0,36.158207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.324104,0.0,0.0
ECOR-31,O83,159.052505,R1,747.796753,759.075684,1028.772827,1038.791016,1836.475586,2238.161621,765.559631,714.885315,765.748901,1045.020996,680.724976,1606.122192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.378704,0.0,0.0,0.0,0.0,45.467773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.460085,525.022888,75.756332,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.235352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.190552,0.0,33.206696,0.0,48.705631,0.0,0.0,36.665657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.681564,0.0,0.0
ECOR-32,O7,986.028503,R1,1407.7146,1011.639893,1717.422729,1022.576843,1836.475586,2222.875244,755.805359,730.083557,800.040161,1045.020996,691.688721,1605.655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,45.497952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035923,527.62439,75.476715,0.0,0.0,561.95166,0.0,25.067707,0.0,0.0,0.0,0.0,54.515408,0.0,0.0,41.512112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.917709,0.0,48.715008,0.0,0.0,18.576498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948959,0.0,0.0
ECOR-33,O7,986.028503,R1,1407.7146,1011.639893,1717.422729,1022.576843,1836.475586,2222.875244,755.805359,730.083557,800.040161,1045.020996,691.688721,1605.655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,45.497952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035923,527.62439,75.476715,0.0,0.0,561.95166,0.0,25.067707,0.0,0.0,0.0,0.0,54.515408,0.0,0.0,41.512112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.917709,0.0,48.715008,0.0,0.0,18.576498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948959,0.0,0.0
ECOR-34,O83,158.402328,R1,1407.7146,1011.639893,1717.422729,1024.96582,1836.475586,2228.585449,755.805359,730.083557,800.040161,1045.020996,691.688721,1605.655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,49.873066,0.0,0.0,0.0,0.0,112.491516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035923,527.62439,75.476715,0.0,0.0,561.95166,0.0,25.067707,0.0,0.0,0.0,0.0,54.515408,0.0,0.0,41.445087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.917709,0.0,48.715008,0.0,0.0,40.993401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.197214,0.0,0.0
ECOR-35,O1,840.322327,R1,1403.00415,1005.251831,1514.615967,1032.94812,1833.660156,2218.239502,758.520264,735.159668,719.51947,1041.080444,691.688721,1593.59314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.982147,55.248875,88.063362,0.0,0.0,0.0,38.09499,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,21.806723,527.883301,76.061745,18.619699,0.0,560.365479,0.0,23.633873,0.0,0.0,0.0,0.0,54.031296,532.041809,0.0,35.751835,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.199524,0.0,33.870937,0.0,49.777447,0.0,0.0,25.776245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,27.33976,0.0,0.0
ECOR-36,O1,840.322327,R1,1403.00415,1005.251831,1516.675293,1032.220703,1808.199707,2216.261719,758.520264,735.159668,719.51947,1041.080444,691.688721,1593.59314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.982147,55.248875,88.063362,0.0,0.0,0.0,38.09499,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,21.806723,529.083801,76.061745,18.619699,0.0,560.365479,0.0,23.633873,0.0,0.0,0.0,0.0,54.033516,532.041809,0.0,35.751835,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.199524,0.0,33.870937,0.0,49.777447,0.0,0.0,25.776245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,27.33976,0.0,0.0
ECOR-37,O83,159.801498,R1,1396.748657,1008.420593,1079.484619,1022.049744,1824.969238,2226.836182,791.731018,764.011902,792.566345,1045.020996,691.688721,1588.883301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579338,55.438721,0.0,0.0,0.0,0.0,48.57122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.643747,527.483276,76.606888,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,44.60968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.510994,0.0,48.705631,0.0,0.0,56.550137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.293755,0.0,0.0
ECOR-38,O7,989.592896,R1,1406.969849,1008.371216,1538.699463,1032.220703,1836.475586,2226.128418,755.988953,724.674194,719.51947,1045.020996,691.688721,1591.40271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.61937,0.0,0.0,0.0,0.0,50.200436,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,19.598614,527.063843,73.218658,18.619699,0.0,560.365479,0.0,24.307621,0.0,0.0,0.0,0.0,53.917755,532.041809,0.0,42.907478,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.91391,0.0,33.870937,0.0,49.250988,0.0,0.0,25.674883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,30.215712,0.0,0.0
ECOR-39,O7,989.592896,R1,1406.969849,1008.371216,1538.699463,1032.220703,1836.475586,2226.128418,755.988953,724.674194,719.51947,1045.020996,691.688721,60.052799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.61937,0.0,0.0,0.0,0.0,50.200436,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,19.598614,527.063843,73.218658,18.619699,0.0,560.365479,0.0,24.307621,0.0,0.0,0.0,0.0,53.917755,532.041809,0.0,42.907478,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.91391,0.0,33.870937,0.0,49.250988,0.0,0.0,25.674883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,30.215712,0.0,0.0
ECOR-40,O7,989.592896,R1,1406.969849,1008.371216,1538.699463,1032.220703,1836.475586,2226.128418,755.988953,724.674194,719.51947,1045.020996,691.688721,1591.40271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.61937,0.0,0.0,0.0,0.0,50.200436,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,19.598614,527.063843,73.218658,18.619699,0.0,560.365479,0.0,24.307621,0.0,0.0,0.0,0.0,53.917755,532.041809,0.0,42.907478,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.870937,0.0,49.250988,0.0,0.0,25.674883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,30.215712,0.0,0.0
ECOR-41,O7,989.592896,R1,1406.969849,1008.371216,1538.699463,1032.220703,1836.475586,2226.128418,755.988953,724.674194,719.51947,1045.020996,691.688721,1591.40271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.61937,0.0,0.0,0.0,0.0,50.200436,21.529518,0.0,0.0,0.0,0.0,0.0,0.0,19.598614,527.063843,73.218658,18.619699,0.0,560.365479,0.0,24.307621,0.0,0.0,0.0,0.0,53.917755,532.041809,0.0,42.907478,257.086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.870937,0.0,49.250988,0.0,0.0,25.674883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659798,0.0,0.0,20.928619,0.0,0.0
